+---------------------+---------+---------+---------+---------+----------+
| Timestamp           |    Open |    High |     Low |   Close |   Volume |
|---------------------+---------+---------+---------+---------+----------|
| 2023-06-20 19:55:00 | 278.01  | 278.11  | 277.9   | 278.1   |    95848 |
| 2023-06-20 19:50:00 | 277.71  | 278.1   | 277.71  | 277.98  |    67695 |
| 2023-06-20 19:45:00 | 277.71  | 277.85  | 277.66  | 277.78  |    46551 |
| 2023-06-20 19:40:00 | 277.94  | 278.09  | 277.69  | 277.73  |    64143 |
| 2023-06-20 19:35:00 | 277.9   | 277.97  | 277.7   | 277.94  |    29838 |
| 2023-06-20 19:30:00 | 277.94  | 277.99  | 277.83  | 277.9   |    35966 |
| 2023-06-20 19:25:00 | 277.75  | 277.94  | 277.75  | 277.94  |    35737 |
| 2023-06-20 19:20:00 | 277.7   | 277.84  | 277.55  | 277.76  |    40801 |
| 2023-06-20 19:15:00 | 277.57  | 277.74  | 277.57  | 277.67  |    27050 |
| 2023-06-20 19:10:00 | 277.62  | 277.64  | 277.5   | 277.59  |    22071 |
| 2023-06-20 19:05:00 | 277.65  | 277.68  | 277.51  | 277.6   |    27478 |
| 2023-06-20 19:00:00 | 277.55  | 277.75  | 277.52  | 277.61  |    31363 |
| 2023-06-20 18:55:00 | 277.46  | 277.68  | 277.45  | 277.53  |    34250 |
| 2023-06-20 18:50:00 | 277.27  | 277.5   | 277.25  | 277.35  |    29021 |
| 2023-06-20 18:45:00 | 277.59  | 277.59  | 277.2   | 277.23  |    66243 |
| 2023-06-20 18:40:00 | 277.61  | 277.66  | 277.55  | 277.59  |    23750 |
| 2023-06-20 18:35:00 | 277.58  | 277.7   | 277.52  | 277.55  |    26982 |
| 2023-06-20 18:30:00 | 277.6   | 277.7   | 277.53  | 277.57  |    20719 |
| 2023-06-20 18:25:00 | 277.75  | 277.8   | 277.54  | 277.69  |    29123 |
| 2023-06-20 18:20:00 | 277.62  | 277.77  | 277.58  | 277.75  |    41521 |
| 2023-06-20 18:15:00 | 277.91  | 277.94  | 277.65  | 277.65  |    59231 |
| 2023-06-20 18:10:00 | 277.92  | 278     | 277.9   | 277.92  |    26549 |
| 2023-06-20 18:05:00 | 277.89  | 278.13  | 277.88  | 277.96  |    37428 |
| 2023-06-20 18:00:00 | 277.97  | 278     | 277.83  | 277.89  |    52910 |
| 2023-06-20 17:55:00 | 277.94  | 278     | 277.85  | 277.97  |    36828 |
| 2023-06-20 17:50:00 | 278     | 278.18  | 277.83  | 277.94  |    71246 |
| 2023-06-20 17:45:00 | 277.75  | 278.06  | 277.7   | 277.95  |    65968 |
| 2023-06-20 17:40:00 | 277.99  | 278.04  | 277.54  | 277.74  |   103334 |
| 2023-06-20 17:35:00 | 278.11  | 278.29  | 277.8   | 278     |   113631 |
| 2023-06-20 17:30:00 | 278.18  | 278.25  | 278     | 278.19  |    68903 |
| 2023-06-20 17:25:00 | 278.15  | 278.44  | 278     | 278.18  |   190764 |
| 2023-06-20 17:20:00 | 277.8   | 278.16  | 277.59  | 278.12  |   123813 |
| 2023-06-20 17:15:00 | 277.53  | 277.94  | 277.4   | 277.79  |   109182 |
| 2023-06-20 17:10:00 | 277.58  | 277.68  | 274.45  | 277.51  |   135378 |
| 2023-06-20 17:05:00 | 277.59  | 277.6   | 277.2   | 277.55  |    93704 |
| 2023-06-20 17:00:00 | 277.13  | 277.65  | 277.11  | 277.5   |   119692 |
| 2023-06-20 16:55:00 | 277.73  | 277.74  | 277.11  | 277.13  |   123610 |
| 2023-06-20 16:50:00 | 277.07  | 277.77  | 277.07  | 277.74  |   183344 |
| 2023-06-20 16:45:00 | 277.13  | 277.17  | 276.84  | 277.13  |   133330 |
| 2023-06-20 16:40:00 | 277.14  | 277.2   | 276.74  | 277.15  |   164762 |
| 2023-06-20 16:35:00 | 277.6   | 277.68  | 274.45  | 277.1   |   219133 |
| 2023-06-20 16:30:00 | 277.28  | 277.71  | 277.06  | 277.62  |   296416 |
| 2023-06-20 16:25:00 | 277.38  | 277.5   | 276.72  | 277.2   |   352267 |
| 2023-06-20 16:20:00 | 275.84  | 277.38  | 275.65  | 277.38  |   351580 |
| 2023-06-20 16:15:00 | 275.08  | 275.95  | 274.45  | 275.86  |   207937 |
| 2023-06-20 16:10:00 | 274.28  | 275.55  | 274.22  | 275.09  |   255870 |
| 2023-06-20 16:05:00 | 274.66  | 274.7   | 273.84  | 274.3   |   229409 |
| 2023-06-20 16:00:00 | 274.45  | 275.29  | 274.4   | 274.6   |   868558 |
| 2023-06-20 15:55:00 | 274.42  | 274.74  | 274.05  | 274.46  |  3366283 |
| 2023-06-20 15:50:00 | 273.8   | 274.75  | 273.7   | 274.421 |  3194593 |
| 2023-06-20 15:45:00 | 273.52  | 273.9   | 273.331 | 273.858 |  2332909 |
| 2023-06-20 15:40:00 | 272.82  | 273.71  | 272.82  | 273.515 |  2433073 |
| 2023-06-20 15:35:00 | 272.575 | 273.03  | 272.32  | 272.85  |  1754202 |
| 2023-06-20 15:30:00 | 272.71  | 273.105 | 272.44  | 272.599 |  2258637 |
| 2023-06-20 15:25:00 | 272.002 | 272.72  | 271.84  | 272.7   |  2167097 |
| 2023-06-20 15:20:00 | 271.07  | 272.2   | 271.03  | 272.018 |  2303022 |
| 2023-06-20 15:15:00 | 271.07  | 271.25  | 270.79  | 271.05  |  1051816 |
| 2023-06-20 15:10:00 | 270.93  | 271.2   | 270.47  | 271.052 |  1277517 |
| 2023-06-20 15:05:00 | 270.26  | 270.96  | 270.24  | 270.918 |  1095340 |
| 2023-06-20 15:00:00 | 271.07  | 271.33  | 270.03  | 270.28  |  1693300 |
| 2023-06-20 14:55:00 | 270.61  | 271.28  | 270.45  | 271.059 |  1450493 |
| 2023-06-20 14:50:00 | 270.884 | 270.99  | 270.47  | 270.62  |   970324 |
| 2023-06-20 14:45:00 | 270.92  | 270.94  | 270.62  | 270.88  |   848379 |
| 2023-06-20 14:40:00 | 270.54  | 270.97  | 270.13  | 270.935 |  1266988 |
| 2023-06-20 14:35:00 | 270.625 | 270.86  | 270.32  | 270.548 |  1030776 |
| 2023-06-20 14:30:00 | 271.31  | 271.31  | 270.57  | 270.62  |  1436436 |
| 2023-06-20 14:25:00 | 270.862 | 271.34  | 270.64  | 271.3   |  1401912 |
| 2023-06-20 14:20:00 | 270.712 | 271.15  | 270.51  | 270.845 |  1399033 |
| 2023-06-20 14:15:00 | 269.894 | 270.91  | 269.886 | 270.71  |  1901432 |
| 2023-06-20 14:10:00 | 270.29  | 270.35  | 269.46  | 269.88  |  1521825 |
| 2023-06-20 14:05:00 | 270.09  | 270.36  | 270.07  | 270.276 |  1086531 |
| 2023-06-20 14:00:00 | 270.15  | 270.36  | 269.92  | 270.105 |  1097943 |
| 2023-06-20 13:55:00 | 270.06  | 270.49  | 269.7   | 270.15  |  1774461 |
| 2023-06-20 13:50:00 | 270.46  | 270.65  | 270.05  | 270.08  |  1421112 |
| 2023-06-20 13:45:00 | 270.646 | 270.89  | 270.42  | 270.47  |  1392434 |
| 2023-06-20 13:40:00 | 271.066 | 271.2   | 270.53  | 270.64  |  1497268 |
